,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error,loss,mean_absolute_error,mean_absolute_percentage_error
555,1513.96283098,9.71361509,2.23464149,2843.07737841,15.35212409,2.91245125
556,16292.12214657,42.58912315,5.94353433,3953.98005800,18.19933284,3.27081654
557,4236.36046894,25.55983364,5.40164485,5760.83475277,21.01951527,3.51056273
558,2568.60905657,14.32517361,2.61409415,2624.73349837,14.02226991,2.85954122
559,6621.50400044,24.71912316,3.75752811,4029.03382025,18.52958272,3.24844864
560,508.98292169,7.47551348,2.34315335,4482.81020990,16.95795920,3.25785194
561,9240.76477418,30.19426000,4.30229753,1979.66070716,13.07148134,2.69310492
562,2060.57104827,12.99618867,2.44016840,3299.80956445,15.57218581,2.85503245
563,5208.89539832,20.22310611,2.92183191,2512.06164954,14.60723253,2.76412568
564,3457.24722893,17.15320876,2.89330911,3394.11412981,16.88578158,2.96081066
565,1330.17870365,10.71938076,2.21280717,2216.48133414,12.10758511,2.58949170
566,8088.66720376,26.35689986,3.92059202,3452.20854902,17.59260023,3.01206022
567,2591.56139291,13.77211757,2.29448622,4064.74288743,17.47377344,3.06141029
568,2139.65958011,11.19184408,2.22095940,4688.69467763,20.25693016,3.23591838
569,10879.44244090,31.30517748,5.05070683,3320.62733136,17.34901360,3.09489292
570,679.17438018,6.96797763,2.07412592,3600.93359626,16.14391600,2.90549366
571,353.49166895,6.02142999,2.01850759,2725.85030174,15.20872503,2.84025799
572,13419.43835584,34.37258907,4.91817025,3256.28300894,15.71377250,2.88981123
573,3335.51300681,18.31450984,3.30077714,3289.48671406,13.59516290,2.76783648
574,8192.47247361,26.70872646,4.13102044,1754.45577959,12.32711071,2.52013425
575,3976.58946825,16.27265574,2.75966730,2897.21878334,15.62164622,2.94940961
576,631.18382803,7.48681998,2.00613027,3467.63482321,16.34865603,2.93836979
577,571.49669027,7.56028514,1.94292166,3007.53457603,15.29114840,2.72621745
578,1843.92279443,11.61802966,2.23230904,2230.41825446,13.02758844,2.48387219
579,2946.41954153,16.12459460,2.95247749,3452.91351437,17.07883403,2.92692726
580,1774.67607290,10.14835302,2.13442682,3865.81335074,17.97029991,3.00650032
581,720.38413253,9.29900919,2.30251853,3680.40431001,17.06058203,2.95952633
582,5790.86190283,24.04809504,3.71270187,3399.24086200,15.58760559,2.78189115
583,2917.99653171,15.41530799,2.75647336,2901.69085877,15.54289281,2.80335825
584,7253.71807967,24.45568254,3.45907856,3301.64895410,17.03991706,2.98329579
585,1859.23941057,8.97807381,2.20200094,4866.68206401,19.68970113,3.24358320
586,7071.75711396,27.27525352,3.55213031,2926.01730636,15.44504123,2.79350620
587,918.72606167,9.00955956,2.08533010,3982.58206327,18.53486753,3.19121205
588,1238.40915518,8.64654951,1.99773729,4084.17816255,18.58841703,3.16164849
589,9157.07236364,28.79148934,4.31652552,2913.95623310,15.95358684,2.85313367
590,5476.30219936,21.21056939,3.11914601,4080.07495519,18.09799672,3.13614221
591,7365.49716379,24.42221619,3.38818155,4159.01751191,19.38221606,3.29230969
592,6095.38704483,20.84356016,3.14999501,3947.23257617,18.70044305,3.17267945
